CellID,AHP,AP height,AP1-AP2int,AP9-AP10int,Adaptation,Halfwidth,Latency,Max dV/dt,Max firing freq,Membrane capacitance,Membrane resistance,Membrane time constant,Min dV/dt,Min latency,Rheobase,Sag Ratio,TH,Vm,dV/dt ratio,mAHP,minISI,staining
160705_6,18.9208984375,81.878662109375,80.0,58.65,0.903002309468822,0.625968204225282,337.0,26.885986328125,15.0,128.923278688524,103.759765625,12.0,-6.072998046875,132.75,160.0,0.764705882352941,-32.196044921875,-62.8495649857954,4.42713567839195,2.01416015625,53.4,WFS1
160802_4,14.7705039978027,69.061279296875,38.3,41.05,1.14825174825174,0.663527369620637,278.95,12.9699697494506,35.0,68.6240725418729,194.931077957153,10.0,-6.28662061691284,61.75,80.0,0.881782931417506,-36.19384765625,-57.9894981384277,2.06310680090312,1.3427734375,22.7,WFS1
160802_5,23.8037109375,77.880859375,65.25,45.2,0.786086956521739,0.54187279839803,394.3,20.56884765625,36.0,79.7354666666666,110.244750976562,7.3,-7.14111328125,85.3,200.0,0.831325301204819,-30.70068359375,-70.9869384765625,2.88034188034188,5.340576171875,22.5,WFS1
160804_12,19.22607421875,49.98779296875,48.05,44.8,1.01242937853107,0.60688813132106,243.6,10.650634765625,49.0,66.0287518796992,109.481811523437,6.7,-5.401611328125,97.05,240.0,0.926080892608089,-25.970458984375,-74.6292114257812,1.97175141242937,3.631591796875,10.85,WFS1
160804_2,17.2119140625,70.73974609375,39.0,32.45,0.820480404551201,0.641717920938636,247.45,15.899658203125,50.0,71.3112030651341,114.059448242187,7.1,-6.011962890625,68.35,120.0,0.793014230271668,-36.07177734375,-70.3145345052083,2.64467005076142,4.852294921875,10.0,WFS1
160804_8,17.5476036071777,71.075439453125,50.35,56.3,0.959931798806478,0.574900269777736,161.45,16.7846662998199,24.0,90.1894717341548,121.688842773437,9.1,-6.50024363398551,161.45,160.0,0.918552005487181,-32.073974609375,-72.3556518554687,2.58215956892198,2.105712890625,17.25,WFS1
160809_5,16.082763671875,61.6455078125,40.65,46.55,1.24798927613941,0.850932899112416,239.0,9.58251953125,19.0,107.302466321243,131.988525390625,11.85,-3.7841796875,87.4,160.0,0.895302013422818,-33.294677734375,-76.4129638671875,2.53225806451612,1.03759765625,25.55,WFS1
160810_1,14.0380859375,62.3779296875,72.0,73.7,0.84324942791762,0.97744185781616,179.3,9.1552734375,24.0,103.442994940978,133.895874023437,11.7,-3.2958984375,179.3,160.0,0.911573472041612,-34.11865234375,-76.2496948242187,2.77777777777777,2.410888671875,16.0,WFS1
160810_2,13.427734375,52.06298828125,90.6,64.2,0.718522663682148,1.05261968013771,99.5,7.75146484375,43.0,71.2458985695708,162.887573242187,10.45,-2.899169921875,99.5,120.0,0.858365019011406,-32.89794921875,-70.9991455078125,2.67368421052631,4.82177734375,7.1,WFS1
160817_1,13.6413536071777,63.9648418426513,42.4,81.5,1.591796875,0.957541622779347,470.35,9.307861328125,20.0,86.1753444715634,167.846584320068,13.1,-3.44848680496215,149.35,120.0,0.937632118824555,-35.614013671875,-75.030517578125,2.69911467102949,0.0,13.65,WFS1
